name,unixtime,commitguid,commitreason
Matthew Gregan,1454288317,f069c4dc7178a0bc1c0a9944d35e6e157d4d4cd6,Add check_parser_state macro to retain content.limit() check from old driver() based approach.
Matthew Gregan,1454286645,d151552ecc1b83bd8182697b0bb70b33bfdc9a1f,dump.rs shouldn't treat UnexpectedEOF as a non-error since b05c9c5d.
Matthew Gregan,1454283306,d96893a131078af5932bf170295e432186b99a4b,Fix handling of audio/video description box extensions.
Matthew Gregan,1454281503,96df295899d5b590d4019eb3663a1cf0f278f0b0,Remove BoxHeader from signature of functions that don't use it.
Matthew Gregan,1454279953,cee0968f4369007575b1d712648347c99dfac59d,Convert all other users of driver() to iterator-like loop.
Matthew Gregan,1454279858,eb7b793c25e64981510e0584d1f16393d935a89a,Prototype an interator-like approach to reading boxes.
Ralph Giles,1456937487,0d693d67af2de8612b65c46e761419f2ea8fb4ff,Update rusty-cheddar to v0.3.2.
Matthew Gregan,1456455676,74b7afc9c8f4614423591169b263dfb35e43eaae,Use enums rather than ints in test.cc.
Matthew Gregan,1456374352,c6ad61c8622e8a4c497824d72534e25af75c3868,Fix test.cc error reporting broken by inverting error values.
Matthew Gregan,1456191780,42e09b612189f0a0edfdb9b60eb09a543147eb7b,Add warning about hand-editing mp4parse.h.
Matthew Gregan,1455847164,ac8f13f7b87a8e6a8575fae0d63427b7958d5786,Make mp4parse_read's thread wrapper conditional.
Matthew Gregan,1455847104,9b83c442d52a6468b01b86bacb4f6cf448841b4c,Drop thread wrapper from inside mp4parse_get_track_info.
Matthew Gregan,1455847003,356904c9a4128c535fd7f8bdf53bbdd9ec4b32c9,Enable debug-assertions in release builds.
Matthew Gregan,1455759166,3dd4adfe3ced29daf1fad85908f46e4be605a5f6,Add an AFL driver that exercises the C API.
Matthew Gregan,1455759225,dcc73df176da3f661c3551717c11c0e3daa08959,Correctly populate the mp4parse_track_video_info.image_height field.
Matthew Gregan,1455751408,3df06c78664cf2b5be9d7f78847e41bf2f28b9e1,Handle potential underflow with invalid esds boxes.
Matthew Gregan,1455686257,cada0aaaf63169753556c52ac15274de1e37474b,Add "fuzz" feature for AFL fuzzing.
Matthew Gregan,1455682666,63666c01622ec2f88cc8a3d9688e176437cfeb1a,Fix (and test) another elst-related bug and a string reading bug.
Matthew Gregan,1455677083,064029f1580eecd11257fc6cd507f300b13d69b7,Reject elst boxes with zero entries as invalid.
Matthew Gregan,1455675689,dbb6e50bfc90bffba87feb8a29cae33c3a540bff,Set an arbitrary (1MB) hard limit on the size of avcC and esds boxes.
Matthew Gregan,1455517093,8fcec67b5934f2001bba73c7eee7dacc281edf99,Fix a copy-pasta error in "hdlr" tests.
Ralph Giles,1454464254,bd624432f054e037f5911c428b6ffcf44c5f0c2d,capi: Wrap makefile output at 80 columns.
Ralph Giles,1454451653,2845b60c955f7c40f98ba7181c10c00b29c0dfe2,Remove commented-out log! statement.
Matthew Gregan,1454045416,c13a0c6b6f942217cfc7c0834e08e521779091b5,Rework error handling in driver to clarify end-of-recursion case.
Ralph Giles,1454019944,bb8d837ccb46bc3c1e78fd4e39ea6f195fdcff33,Add tests for OpusSampleEntry and OpusSpecificBox.
Ralph Giles,1454360666,1a351385fd5b1e6998b0514b3eca0ab3380cf308,Remove make_box_raw from test utilities.
Ralph Giles,1454096206,9ab70070e7870cec900f4d6f9e352e6a5f7bf6f4,Re-export stderr on build failure.
Ralph Giles,1454050670,6cc62f6a7a9d1f925a641a12dc510d38b8440f4a,travis: Use GCC 5.
Ralph Giles,1454049811,10d3decebafe06eca1b23b207b9222db36c651b0,capi: Use rustc --emit dep-info in examples/Makefile.
Matthew Gregan,1454042229,431c8f7a12386679210ad1f3e60e6900318178db,Move try-compile of examples to a Travis rule for now.
Matthew Gregan,1454039951,9d5587826090fa15823221ec8a44645667b760c5,Minor formatting fixes.
Matthew Gregan,1454032513,6a27f574907293d3dc6d0b7f801d6b2ff04e1fe1,travis: Actually use g++-4.8.
Matthew Gregan,1454031739,4b759baef750275e4d3eaf4195802a561dc5debf,examples/test.cc only needs -std=c++11.
Matthew Gregan,1454031531,7c435a14d15f60b1cbcbf383dd36649f0f5d1233,travis: Fix typo in package source name.
Matthew Gregan,1454031358,b7d9d6ff2759a223f56f3cb61ec7cfdc42f824ff,travis: Pull in g++-4.8 for C++11 support.
Matthew Gregan,1454028227,08ffa8a8a9d4d93cbd48e0deb8aaaeeb2e1cd288,Fix a test in examples/test.cc.
Matthew Gregan,1454026637,2ddff4c3648ced5618b9c896f81034e823fe0746,Rename examples/dump.cc to examples/test.cc.
Ralph Giles,1454022037,f6e61c1e05e3c6114f1dbd8e42c2ba5549955e34,Assert when the C++ test build fails.
Ralph Giles,1454017235,ab29235aef483c38d188df5b78c70ae56897b3bc,capi: Invoke examples/Makefile as part of the standard build.
Ralph Giles,1454016760,3dc561c54d25e9fa621fa754428df89fce142b55,Require test-assembler 0.1.1.
Ralph Giles,1454014616,54466ed83d08cafcbbec83d8f3984acd0d7a9c6f,capi: Make cheddar feature the default in build.rs.
Ralph Giles,1454014033,559f226025b324ed16d7f34152db2e2135895610,Enable cheddar feature by default.
Ralph Giles,1454008306,38f8213980f7dc77fc8f4e44ba82cd5fad831123,travis: Add feature matrix for optional cheddar api generator.
Ralph Giles,1454007224,1267beb08cc6c16b5095ffdc5b74744c40861c60,capi: Keep mp4parse_track_type generic.
Ralph Giles,1454007023,d14c05a74a0a8a1bfb3881144efa61854ffdd797,capi: rebuild the C example when the source changes.
Ralph Giles,1454007013,85fddb4e26a18285684c053e81e60acac2ea3ae4,Revert "capi: rebuild the C example when the source changes."
Ralph Giles,1454006830,3965cdaa93128ee03ef04b55bc699d4b007431dd,capi: rebuild the C example when the source changes.
Ralph Giles,1454004518,b4abdb5870c01af79560f98114d4ae5139bacb8d,capi: Update doctest for error enum changes.
Ralph Giles,1454004378,142d039e8264023a30ae9daaa1e3d92c0f339a21,Derive PartialEq and Debug on mp4parse_error.
Matthew Gregan,1453940942,ba69f4b3f9bc3c42a13c8190b24a41ab46ce0619,Generate a compatible include/mp4parse.h from rusty-cheddar.
Matthew Gregan,1452738099,1a58bd4c0c381e5496c861bd5ee130e804d2838a,Automate C header generation with rusty-cheddar.
Ralph Giles,1453875749,f773e306b0b7aff621cacec90db42dee09804bb1,Bump version for 0.2.1 release.
Matthew Gregan,1453860156,3f9439a103b3af92eeba469a1910e2e4786cb11b,Merge remote-tracking branch 'upstream/master'
Matthew Gregan,1453859916,ebb3c527c7cd1f0cd17b26f64bb7529c31aa5c99,Handle zero-length name fields inside hdlr boxes.
Ralph Giles,1453842086,f56d139672c9fe59d02711fbebe1b686e08425e8,Bump version for 0.2.0 release.
Matthew Gregan,1453770344,36d258783c5c659e662d0ce0ffbf6af86a8f24bf,Unwrap the JoinHandle's result so we can match on its contents.
Matthew Gregan,1453779993,86a2196255ca9209a6601154836f3cb72cc16b75,Minor cleanups.
Ralph Giles,1453771526,9c1868584515c2c86922c0d847b19281e73dbcf1,Go back to fixed sizes for older tests.
Ralph Giles,1453771372,8690f2a7d3c40944b0cb850ddb901e536cb28d59,Use BoxSize::Auto for most tests.
Ralph Giles,1453770600,fc434ab1cdea65d0260dc1ba1d20c8646f4725b9,Add a BoxSize::Auto variant.
Matthew Gregan,1453770344,b6d562127c879b0dbaf1bfccf1f8004568a4f953,Unwrap the JoinHandle's result so we can match on its contents.
Ralph Giles,1453766019,f17e3e841e43278eef7f2c52faf00e553ba83b0e,Add basic vpcC test.
Ralph Giles,1453742340,986a4df126335a43f0948f75b2b176fb097f629a,Allow vp8 as well.
Matthew Gregan,1453692854,ec007a4334c3a5d89b8b77ea4b9a1a1521aa3b90,Add string parsing.
Matthew Gregan,1453681373,d8fc5955d55e2eebc998119c485f660a5c3f6050,Refactor reading of u8 buffers out into read_buf.
Matthew Gregan,1453680764,d4e550a4901907cfe3a2d4fe4e87054e952d7974,Skip clap/pasp/etc. VideoSampleEntry subboxes for all codecs.
Matthew Gregan,1453678673,c01fbb7d7532d7f30e7a2c2933fcd8c051080c6b,Flesh out Opus-in-MP4 by parsing the dOps codec params.
Matthew Gregan,1453677483,114763e34e5ee5868d7e7295dfe394ec869e2599,Share the parsing of the common VideoSampleEntry parts.
Ralph Giles,1453509270,6179efd9089f368cbde7a306f6911de6bb893e88,Remove the Trace trait.
Ralph Giles,1452734176,3d32bd51194a8925ce674d79a7f3f453ceb8d4bb,Add basic VP9 support.
Ralph Giles,1453506595,ac2c5860d1ae909effc76259614c630067e1c49c,Consolidate Trace imlementation boilerplate into a macro.
Ralph Giles,1453505146,7a87789367435ff65ca5e3e7f28fb55c974b6488,Propagate MediaContext.trace to Track.trace.
Ralph Giles,1453161611,3e5879dabbe69e9a6d290976f5d8e4f8d5840dfd,Add a Trace trait.
Ralph Giles,1453506972,83049b274576e26fb0398b3dfed20fa56ca24c01,Use audio/opus as the Opus mime-type.
Matthew Gregan,1453418232,6b1a6bef0fa5d80d4a7e501b03d2aeeb9434d9bd,Preliminary Opus-in-MP4 support.
Matthew Gregan,1453070229,e1244dfe675a6247d66a6ebaeaeba98671ec04a1,Remove left over tracing from read_truncated_ftyp.
Matthew Gregan,1453321847,c46d7366ca7dd284b29377aff6fb02c0c4a2258c,Merge pull request #11 from fbergr/doc
fbergr,1453318763,445295727b1abf8236a658fe9083155286863462,doc: Fix typo "the the"
Ralph Giles,1453161978,f10e6568a3ce4b41b374fcff3c3e8e08bccbbc4b,Use a token tree instead of a sequence of expressions in log!().
Ralph Giles,1452877926,ae41707decfc9a464ebd07fff0587bfb8a6df2cd,Tighten read_truncated_ftyp xfail condition.
Ralph Giles,1452875862,ce799da0470848d5390087fd5155334ecf3018ac,Mark ignored test as xfail.
Matthew Gregan,1452839091,1b80cbcc129918db01f51b719314437922fd5735,Make FourCC matching and comparison less obscure.
Matthew Gregan,1452825209,66976e246091b8ca1ced610662d3ca05ba2aecdc,Add a test for parsing truncated (ftyp) boxes.
Matthew Gregan,1452660661,87b0eb72caee5af8de0d7dfd3636ad2992236a5a,Convert content.limit() read assertion to an error.
Matthew Gregan,1452660559,7aabe7ce3e07ef10d5e680bd4403eab3a7b990ec,Return Self from the Track and MediaContext ctors.
Matthew Gregan,1452646157,18dcd97b2437662d688b04d9b932d21ed2b24c75,Reorder args to driver action to match similar functions.
Ralph Giles,1452812164,0e1d3d691cf765274815e08657dc8005306c1262,Move the tests module to a separate source file.
Matthew Gregan,1452805276,dad7005d9e524f0e0c1db534895f9ff95615744d,Merge pull request #10 from fmarier/patch-1
Francois Marier,1452804619,6ee2396826567f46c791d1bc50edddb86d8f034d,Mention the mozilla-central config flag
Ralph Giles,1452541432,5c4ff09290ba3a33ac62fe6f95a03d8e595430f4,Export everything in capi.
Ralph Giles,1452539979,d5b04f72428d9af42803237386f2a6ff8f0fdbca,Make CAPI error return codes positive.
Ralph Giles,1452536114,627c647db4a5001a6ee66f3d3b3c1963542552ff,Bump version for v0.1.6.
Matthew Gregan,1452494105,ff3eecc9c4d29691230b87b6d5b3aa635193ac33,Pass Track to users to avoid having to fetch it from MediaContext.
Matthew Gregan,1452487653,433d38c1cc63d0eb9af745aee05d4bda69c089de,Formatting only changes.  Also move TODOs from C header to capi.rs.
Matthew Gregan,1452485616,06907478d48171910d9a2cad7aeb1e5a052c510b,Add tests for invalid length boxes.
Matthew Gregan,1452484454,d08bd742a2ef8fd4dd66d592c0b61361854fbd56,Add a test for unknown length boxes.
Matthew Gregan,1452483113,70138ebbf9027538c8626e5e8f315a5c8d805390,Factor make_box and make_fullbox out to make_box_raw.
Matthew Gregan,1452476140,074681ca875d7aac3458bed723f6b1295cc9ab04,Convert track argument of mp4parse_get_track{,_audio,_video}_info to u32.
Ralph Giles,1452289872,4e1f716ec1539f7ebbb14d9d78d06e0309ea44cc,Propagate parse errors through the C api.
Ralph Giles,1452286857,a8b0bfb8db15a698a008d11e68e8e656b33e077a,Propagate Error variants to the capi return codes.
Ralph Giles,1452286805,1f23529bea40325819dcb5b9640b7324744795ad,dump.cc: bump buffer to 64 kB.
Ralph Giles,1452273931,dad0060b5ea84f212daf525e376183ff3cd5cfab,Move test-assembly to dev-dependencies.
Matthew Gregan,1452231509,85be3cc1fe51ad8087255956927cc41efa5e86eb,Add make_fullbox to reduce duplication in tests.
Matthew Gregan,1452231016,ec4196abdac90a14689a27a35a2c5fed628a28b5,Rewrite remaining tests with test_assembler.
Matthew Gregan,1452230355,c589956461a446fbd6711044a8b9177cd9c6d601,Initial attempt rewriting tests using test_assembler.
Matthew Gregan,1452225946,079fc7417c62866c6c640497088555c26dee078d,Hoist import of Cursor and Write to top of tests module.
Matthew Gregan,1452223573,ac02915cddaa79ed4426881dd1cdf1cda58c5d2b,Move unit tests into 'tests' module.
Matthew Gregan,1452222913,70fb559b375647a5f712b317379d55f3de18306f,Remove obsolete/confusing comment.
Matthew Gregan,1452222723,42c1807f4cedc027e805e60db2143c469be1c7cf,Remove undisplayed printlns from tests.
Matthew Gregan,1452222654,d97784dfc8cf50a6947ce156bf7c5166bc3dd0b0,Add mvhd parsing tests.
Matthew Gregan,1452222624,e9e15a3ed600c192d9927faa50aa1416ddef6620,Handle unknown (all-1s) duration in mvhd correctly.
Matthew Gregan,1452222586,34bd1f2dcacd9b1df501f9ac9ce142a972e660f2,mdhd timescale is unsigned, so no need to check < 0.
Ralph Giles,1452210715,0f3e3e0d6202ecd6b643e14b9bfaa16ff8d77f61,Print parse errors from the dump example.
Ralph Giles,1452200121,a0d723b4f522882bbacc8baf533d6bcf392eecba,Use foo.is_ok() instead of if let OK(_) = foo;
Ralph Giles,1452188453,0d1a0929b331fcf45eae47916dffe92f8b3e70f9,Improve code style in parse_mdhd.
Matthew Gregan,1452148284,29d703d38e1684d9fe38842d742bd62be1d541d8,Add mdhd parsing tests for 384ab94f and 4cb6eba6.
Matthew Gregan,1450399505,a9b89085027a3ff7efa56836882bb7c5bda8c296,Hoist audio/video description parsing out of read_stsd.
Matthew Gregan,1450399222,ee337797604f38d0d528a7fc1333e835c0728ac2,Style cleanups suggested by rust-clippy.
Matthew Gregan,1450398078,35700be92e5fee6cee8a6324ebb86aadb409972a,Accept most of the changes suggested by a rustfmt pass.
Matthew Gregan,1450133012,4cb6eba6529516c77e5d698c6aad31eca41aa909,Handle unknown (all-1s) duration in mdhd correctly.
Matthew Gregan,1449679426,384ab94f839faf26789257593f41885d859b53e2,Treat zero timescales in mvhd and mdhd as a parse error.
Matthew Gregan,1449676329,b367a0e22f1ca9d88d6e9512ac4e6e9cfa6fe121,Remove unnecessary dead_code annotations.
Matthew Gregan,1449676177,d34bb609139291135a510993024c9f8b31de285c,Invert TrackHeaderBox.enabled to .disabled to match actual box contents.
Matthew Gregan,1449676008,3bc18ed847aba90e12190b9fab93f6f6415b7351,Store BoxHeader in each parsed box type rather than duping name and size.
Ralph Giles,1449104540,17a8f84dc2dd077a868fc60f5be06ae68c71d6c8,Move mp4parse_get_track_info into a subthread.
Ralph Giles,1449103147,57093068740b8ab5c0b9f4e131214c0cb3691a8b,Assert on zero scale.
Ralph Giles,1449077449,095943e581a48a50863a645878e1bc76dd60288b,Bump byteorder dependency to v0.4.2.
Ralph Giles,1449020380,be721854de6f31b307176379c883e8e3a9d661ca,Merge pull request #9 from kinetiknz/wip
Matthew Gregan,1449020165,c0d50c11bee40cfe771c72efcc39371784582eaf,Don't treat tracks without an edit list as invalid.
Ralph Giles,1449019449,4d564e84c87ac6faede110d04ed74a4226f9250b,Bump version for v0.1.5.
Ralph Giles,1449019155,49946f1197fe9e3732976aac244ea2d39e9b0275,Merge pull request #8 from kinetiknz/wip
Matthew Gregan,1449018820,58f4438dd64e8b9aafb789ba4d9db25390f7b831,Remove MediaContext tracing via C API enabled during debugging.
Ralph Giles,1449018119,41eacea208faa07a2dbd4d701ac22d661f21e801,Merge pull request #7 from kinetiknz/wip
Matthew Gregan,1448943571,b690e48a47cf4a281b69e6ac97783247e15bb400,Export audio and video metadata via C API.
Matthew Gregan,1447911189,faeb8d0974b74a11d90aaf6d2c1468d1ba724d24,Split read_box into subfunctions divided by the atoms the box can contain.
Matthew Gregan,1446787664,e2b98923a4353721dafbaeb71d9b6fc17847cdcd,Implement more of the FFI interface.
Ralph Giles,1446694819,22d16298fad1f5a6b7c0f70d49534290e656cc9e,Run travis builds on both stable and nightly rustc.
Ralph Giles,1446659788,dcbe862e1ed6dcb1866782cdfb54a482fd4e93b3,Bump version for v0.1.4.
Matthew Gregan,1446607895,55d38ac41c9f7d86df03b5c951ef6bee48900c54,Tighten calculation of compatible_brands count.
Matthew Gregan,1446178803,4340ec47e2d5a37fd813c3450418570be898b814,Minor formatting improvements.
Matthew Gregan,1446082304,6d55992589eb5cfefb989105252483ff3f791ccc,Minor capi code cleanups.
Ralph Giles,1446534489,5fb0357d818f830dbb1b494340a69832ed0114bf,Restore tracing in the dump.rs example.
Ralph Giles,1446533807,83b7c38cb19ab4a50d5e045bfbec3b4febf3b286,Convert debug println!()s to log!() macros.
Ralph Giles,1446312080,5f47c7930be79fa93e63e2bbfa696ba7b096e367,Bump version for v0.1.3.
Ralph Giles,1445622913,70f45690438af2e7e7c5cdec3ff8d13742fe29e8,Use Box::{into_raw, from_raw} instead of mem::transmute.
Ralph Giles,1446144585,b584de0de5d43ca85c0b47599a3d7faef263290c,Document what each afl fuzz case does.
Ralph Giles,1446143466,9742275c59d352826d8ea5c817bc79706679b224,Return a FourCC from be_fourcc instead of a buffer.
Ralph Giles,1446141992,b154acc87ef09db8e67adab358d39dfb69bbb1ea,Check the return value of read() in be_fourcc().
Ralph Giles,1446141897,6899348dbdec5f1918125cc5aefb25580109d6b2,Add regression test from fuzzing.
Ralph Giles,1446048599,abb0f2b5c43d94c32aa26a6f8936216584517707,Add regression test from fuzzing test cases.
Ralph Giles,1446048368,471c80a18f3e5bf831901748d94985428e41788c,Fix MPL url.
Ralph Giles,1446048156,c0afc74159df1b520cdf87156b7c39dc2cf3430e,Improve InvalidData documentation.
Matthew Gregan,1446004102,774928171070f465ecfd53b76b614ea2182f445c,Convert panics in read_stsd into error returns.
Matthew Gregan,1446004047,0b0c0badf6f2e8916489e046edc4d8ff930d7020,Convert box version checks from panics to error returns.
Matthew Gregan,1446003718,ba8f131f0a681c2964b67d9d7c1be9e0191d7a92,Return Unsupported rather than InvalidData for zero-sized boxes.
Matthew Gregan,1446003552,a60ea2d6f49c91a763a0dbe331259f8deba2f460,Convert assert in read_box_header to an error return.
