commit,type,number_of_lines
389,deletion,14
390,insertion,8
390,deletion,3
391,insertion,29
394,insertion,61
394,deletion,51
395,insertion,5
396,insertion,70
397,insertion,15
397,deletion,10
398,insertion,4
399,insertion,2
400,insertion,10
400,deletion,8
401,insertion,62
402,insertion,16
402,deletion,4
403,insertion,15
403,deletion,15
404,insertion,20
404,deletion,15
406,insertion,16
406,deletion,3
407,insertion,4
407,deletion,3
409,insertion,5
409,deletion,5
410,insertion,10
410,deletion,10
412,insertion,3
412,deletion,6
413,insertion,6
413,deletion,2
414,insertion,13
414,deletion,5
415,insertion,13
415,deletion,13
416,insertion,6
418,insertion,10
418,deletion,2
419,insertion,9
421,insertion,5
421,deletion,2
422,insertion,7
422,deletion,2
423,insertion,6
423,deletion,2
424,insertion,4
425,insertion,10
425,deletion,10
427,insertion,11
427,deletion,11
428,insertion,16
430,insertion,23
431,deletion,2
432,insertion,8
432,deletion,9
433,insertion,9
434,insertion,29
435,insertion,2
435,deletion,2
436,insertion,2
436,deletion,2
437,insertion,5
439,insertion,15
440,insertion,5
440,deletion,2
441,insertion,2
441,deletion,2
442,insertion,4
442,deletion,2
443,insertion,7
445,insertion,7
446,insertion,373
447,insertion,6
448,insertion,14
448,deletion,6
449,insertion,26
451,insertion,10
